Year,Quarter,CPI-AllUrbanConsumers,UnemploymentRate,Inflation,Federal Funds Effective Rate,Federal Minimum Wage Rates,Poverty Rates,Gross Domestic Product,Gross Domestic Income,Government Expenditures,Disposable Personal Income,Housing Price Index (All-Transactions Indexes),Palma Ratio calculated from WID,Gini Index (FRED),Short Term Interest Rates,Long Term Interest Rate,Employment Cost Index,National Debt,Share Prices,Federal Government Current Tax Receipts,Household and Nonprofit Incom Tax,Hours Worked
1990,3,131.53,5.57,2.14,8.16,3.8,13.5,6015.116,5910.743,1342.011,6842.7,165.8,0.450935874,38.165,8.043333,8.703333,87.6,3233313,18.19922,628.133,600726,190.656
1990,4,133.77,5.8,0.82,7.74,3.8,13.5,6004.733,5927.023,1389.495,6784.3,165.15,0.450935874,38.2,7.97,8.396667,87.6,3364820,17.15977,626.593,600814,189.403
1991,1,134.77,7.2,0.9,6.43,3.8,14.2,6035.178,5972.649,1325.372,6801.3,166.53,0.453036582,38.36666667,6.713333,8.016666,87.6,3465189,19.12147,613.433,580772,188.294
1991,2,135.57,6.73,0.74,5.86,4.25,14.2,6126.862,6034.081,1388.654,6851,167.66,0.453036582,38.53333333,6.013333,8.13,87.6,3537988,20.53106,612.927,585925,187.13
1991,3,136.6,6.63,0.88,5.64,4.25,14.2,6205.937,6098.155,1438.653,6879,167.94,0.453036582,38.7,5.7,7.94,87.6,3665303,20.93425,616.693,590237,187.326
1991,4,137.73,6.7,0.51,4.82,4.25,14.2,6264.54,6155.738,1445.678,6936.2,170.31,0.453036582,38.86666667,4.913333,7.346667,87.6,3801698,21.14683,625.41,598671,187.853
1992,1,138.67,8.03,1.02,4.02,4.25,14.8,6363.102,6284.521,1493.079,7075.8,171.62,0.456075876,39.03333333,4.123333,7.303333,87.6,3881288,22.535,627.451,588897,187.587
1992,2,139.73,7.5,0.64,3.77,4.25,14.8,6470.763,6374.987,1513.167,7146,171.59,0.456075876,39.2,3.893333,7.376667,87.6,3984656,22.37532,637.932,607169,188.429
1992,3,140.8,7.47,0.77,3.26,4.25,14.8,6566.641,6426.443,1534.869,7179.1,173.56,0.456075876,39.36666667,3.27,6.616667,87.6,4064621,22.7232,642.804,616201,188.062
1992,4,142.03,7.03,0.42,3.04,4.25,14.8,6680.803,6531.606,1558.025,7211.8,174.43,0.456075876,39.53333333,3.44,6.743333,87.6,4177009,23.08347,673.51,638942,189.456
1993,1,143.07,7.73,1.19,3.04,4.25,15.1,6729.459,6545.416,1553.356,7238.8,174.5,0.459574912,39.7,3.14,6.28,87.6,4230580,24.13709,656.938,617005,190.769
1993,2,144.1,6.97,0.56,3,4.25,15.1,6808.939,6663.732,1560.323,7261.2,176.15,0.459574912,39.86666667,3.133333,5.99,87.6,4351950,24.35836,694.565,643507,192.626
1993,3,144.77,6.67,0.49,3.06,4.25,15.1,6882.098,6716.772,1577.485,7267.5,177.57,0.459574912,40.03333333,3.14,5.616667,87.6,4411489,24.91095,699.151,659210,193.444
1993,4,145.97,6.23,0.48,2.99,4.25,15.1,7013.738,6884.53,1599.575,7318,179.04,0.459574912,40.2,3.283333,5.606667,87.6,4535687,25.457,746.417,675296,195.04
1994,1,146.7,7.07,0.95,3.21,4.25,14.5,7115.652,6955.743,1569.243,7366.3,180.18,0.454026546,40.20833333,3.45,6.066667,87.6,4575869,25.79401,727.521,673667,196.625
1994,2,147.53,6.1,0.55,3.94,4.25,14.5,7246.931,7097.889,1588.706,7440.5,181.26,0.454026546,40.21666667,4.346667,7.083333,87.6,4645802,24.71621,767.039,697839,199.186
1994,3,148.9,5.9,0.94,4.49,4.25,14.5,7331.075,7204.883,1623.282,7483.9,182.01,0.454026546,40.225,4.856667,7.333333,87.6,4692750,25.18626,770.302,695382,200.997
1994,4,149.77,5.27,0.2,5.17,4.25,14.5,7455.288,7330.608,1643.25,7591.3,181.86,0.454026546,40.23333333,5.863333,7.836667,87.6,4800150,24.96735,788.991,705402,202.176
1995,1,150.87,5.93,1.13,5.81,4.25,13.8,7522.289,7401.194,1667.291,7656.2,182.81,0.454021162,40.24166667,6.183333,7.483333,87.6,4864116,25.82185,803.103,724613,203.544
1995,2,150.87,5.63,0.73,6.02,4.25,13.8,7580.997,7480.079,1680.556,7677.9,185.8,0.454021162,40.25,6.01,6.62,87.6,4951372,27.91683,826.947,746808,203.74
1995,3,152.87,5.63,0.46,5.8,4.25,13.8,7683.125,7609.555,1664.223,7748.3,188.67,0.454021162,40.25833333,5.756667,6.323333,87.6,4973983,29.99408,830.271,752216,205.103
1995,4,153.7,5.23,0.19,5.72,4.25,13.8,7772.586,7696.11,1682.7,7793.5,190.14,0.454021162,40.26666667,5.716667,5.893333,87.6,4988665,31.599,842.468,769990,205.514
1996,1,155.07,6.03,1.43,5.36,4.25,13.7,7868.468,7819.355,1731.116,7867.3,192.29,0.453613661,40.275,5.276667,5.91,87.6,5117786,33.75011,875.999,801731,205.272
1996,2,156.4,5.43,0.64,5.24,4.25,13.7,8032.84,7965.95,1737.194,7939.5,192.62,0.453613661,40.28333333,5.393333,6.72,87.6,5161076,35.01273,921.58,839564,207.898
1996,3,157.3,5.23,0.7,5.31,4.25,13.7,8131.408,8065.739,1735.773,8003.8,193.48,0.453613661,40.29166667,5.48,6.78,87.6,5224811,35.02621,923.88,843542,209.707
1996,4,158.67,4.97,0.51,5.28,4.75,13.7,8259.771,8209.098,1737.909,8046.4,194.98,0.453613661,40.3,5.41,6.343333,87.6,5323172,38.09065,946.372,863498,211.53
1997,1,159.63,5.7,0.88,5.28,4.75,13.3,8362.655,8349.259,1751.051,8123,196.61,0.455693467,40.30833333,5.443333,6.563334,87.6,5380890,40.89534,978.033,902112,212.348
1997,2,160,4.9,0.19,5.52,4.75,13.3,8518.825,8474.339,1745.817,8195,198.26,0.455693467,40.31666667,5.69,6.696667,87.6,5376151,42.63061,1004.394,916234,213.78
1997,3,160.8,4.83,0.56,5.53,4.88,13.3,8662.823,8647.179,1776.006,8291.5,200.99,0.455693467,40.325,5.6,6.243333,87.6,5413146,47.93786,1032.495,941108,215.383
1997,4,161.67,4.37,0.07,5.51,5.15,13.3,8765.907,8793.083,1803.842,8413.6,203.59,0.455693467,40.33333333,5.73,5.906667,87.6,5502388,49.38295,1045.441,967830,217.145
1998,1,162,5.07,0.57,5.52,5.15,12.7,8866.48,8897.873,1783.291,8590.7,206.63,0.454918969,40.34166667,5.553333,5.586667,87.6,5542426,52.71678,1063.588,996132,218.52
1998,2,162.53,4.33,0.48,5.5,5.15,12.7,8969.699,9044.608,1789.629,8708.8,208.49,0.454918969,40.35,5.59,5.596667,87.6,5547935,56.85257,1081.512,1022352,219.589
1998,3,163.37,4.53,0.36,5.53,5.15,12.7,9121.097,9207.889,1806.229,8796.5,211.4,0.454918969,40.35833333,5.526667,5.203333,87.6,5526193,53.87644,1108.773,1043209,220.225
1998,4,164.13,4.1,0.18,4.86,5.15,12.7,9293.991,9321.823,1835.281,8866.2,213.9,0.454918969,40.36666667,5.196667,4.67,87.6,5614217,54.52351,1127.159,1067989,222.374
1999,1,164.73,4.63,0.66,4.73,5.15,11.9,9417.264,9480.569,1835.533,8946.3,216.15,0.453608199,40.375,4.9,4.983333,87.6,5651615,59.01668,1142.659,1077946,223.047
1999,2,165.97,4.2,0.73,4.75,5.15,11.9,9524.152,9572.332,1847.214,8966.5,219.05,0.453608199,40.38333333,4.976666,5.54,87.6,5638780,62.48504,1158.005,1095155,224.587
1999,3,167.2,4.27,1.02,5.09,5.15,11.9,9681.856,9697.585,1872.766,9027.7,222.14,0.453608199,40.39166667,5.383333,5.883333,87.6,5656271,61.98428,1182.148,1120589,225.643
1999,4,168.43,3.77,0.24,5.31,5.15,11.9,9899.378,9904.77,1931.559,9163.2,224.44,0.453608199,40.4,6.06,6.14,87.6,5776091,61.77666,1215.337,1153951,227.05
2000,1,170.1,4.4,1.71,5.68,5.15,11.3,10002.86,10180.102,1900.245,9338.7,228.72,0.459379195,40.40625,6.033333,6.48,87.6,5773392,61.47152,1272.073,1208753,228.642
2000,2,171.43,3.87,0.7,6.27,5.15,11.3,10247.68,10298.227,1943.081,9442,232.45,0.459379195,40.4125,6.573333,6.176667,87.6,5685938,63.89603,1284.187,1230156,229.468
2000,3,173,4.03,0.75,6.52,5.15,11.3,10319.83,10439.845,1950.27,9551.6,236.68,0.459379195,40.41875,6.626667,5.893333,87.6,5674179,65.58514,1291.65,1247701,229.695
2000,4,174.23,3.67,0.17,6.47,5.15,11.3,10439.03,10477.14,1980.796,9585.7,240.32,0.459379195,40.425,6.59,5.566667,87.6,5662216,63.95425,1306.215,1258684,229.417
2001,1,175.9,4.6,1.26,5.59,5.15,11.7,10472.88,10666.201,2015.125,9672.6,246.25,0.456983501,40.43125,5.256667,5.05,87.6,5773740,62.78694,1301,1301896,229.252
2001,2,177.13,4.33,1.02,4.33,5.15,11.7,10597.82,10716.068,2046.893,9655.7,250.38,0.456983501,40.4375,4.096667,5.27,88.4,5726815,62.13296,1291.202,1308857,227.725
2001,3,177.63,4.77,0.17,3.5,5.15,11.7,10596.29,10709.235,2080.111,9878.5,254.26,0.456983501,40.44375,3.336667,4.98,89.2,5807464,58.41995,1104.283,1113604,226.838
2001,4,177.5,5.23,-0.9,2.13,5.15,11.7,10660.29,10688.303,2092.592,9753.7,257.41,0.456983501,40.45,2.056667,4.77,90,5943439,56.59628,1210.806,1231775,224.932
2002,1,178.07,6.17,1.19,1.73,5.15,12.1,10788.95,10844.582,2158.121,9973.5,261.11,0.45340405,40.45625,1.823333,5.076667,90.7,6006032,57.84077,1055.567,1075139,223.956
2002,2,179.47,5.73,0.62,1.75,5.15,12.1,10893.21,10975.354,2191.786,10041.1,265.56,0.45340405,40.4625,1.833333,5.1,91.6,6126469,56.37316,1051.808,1050968,224.772
2002,3,180.43,5.67,0.61,1.74,5.15,12.1,10992.05,11038.793,2208.952,10032.3,270.82,0.45340405,40.46875,1.76,4.26,92,6228236,47.90897,1047.885,1044100,224.381
2002,4,181.5,5.53,-0.05,1.44,5.15,12.1,11071.46,11177.588,2269.177,10091.9,274.67,0.45340405,40.475,1.486667,4.006667,92.3,6405707,46.98079,1057.477,1038418,224.329
2003,1,183.37,6.37,1.81,1.25,5.15,12.5,11183.51,11245.768,2308.414,10115.6,278.01,0.455625941,40.48125,1.263333,3.92,93.3,6460776,45.3238,1062.924,1021323,222.839
2003,2,183.07,6.03,-0.27,1.25,5.15,12.5,11312.88,11376.433,2394.274,10238.9,281.4,0.455625941,40.4875,1.166667,3.62,93.8,6670121,49.42915,1074.61,1020769,222.399
2003,3,184.43,6.03,0.82,1.02,5.15,12.5,11567.33,11553.574,2400.35,10411.9,285.71,0.455625941,40.49375,1.07,4.233333,94.7,6783320,52.73785,994.708,950638,222.223
2003,4,185.13,5.53,-0.49,1,5.15,12.5,11769.28,11711.862,2436.267,10439.3,293.79,0.455625941,40.5,1.103333,4.286667,95.2,6997964,56.6192,1083.214,1021311,222.921
2004,1,186.7,6.1,1.67,1,5.15,12.7,11920.17,11900.665,2482.329,10487.4,298.39,0.45676902,40.55,1.053333,4.02,95.7,7131068,61.81828,1086.156,1012221,224.394
2004,2,188.17,5.5,1.23,1.01,5.15,12.7,12108.99,12147.017,2489.218,10607.6,305.63,0.45676902,40.6,1.246667,4.6,96.4,7274335,60.96649,1122.2,1026722,224.783
2004,3,189.37,5.4,0.1,1.43,5.15,12.7,12303.34,12366.901,2531.877,10676.9,317.33,0.45676902,40.65,1.703333,4.303333,97.2,7379053,60.41148,1165.545,1064343,225.395
2004,4,191.4,5.13,0.21,1.95,5.15,12.7,12522.43,12528.634,2575.991,10811.7,324.09,0.45676902,40.7,2.25,4.173333,97.7,7596143,64.57414,1188.485,1091539,226.353
2005,1,192.37,5.63,1.57,2.47,5.15,12.6,12761.34,12759.191,2660.902,10684.9,331.56,0.456144427,40.75,2.783333,4.296667,98.3,7776939,67.3415,1326.264,1172241,227.272
2005,2,193.67,5,0.62,2.94,5.15,12.6,12910.02,12954.348,2681.827,10786.5,342.16,0.456144427,40.8,3.23,4.16,98.8,7836496,66.85601,1343.299,1196255,228.002
2005,3,196.6,4.97,2.19,3.46,5.15,12.6,13142.87,13168.114,2775.267,10818.3,352.48,0.456144427,40.85,3.736667,4.213333,99.4,7932710,70.07876,1374.911,1225436,229.488
2005,4,198.43,4.67,-1,3.98,5.15,12.6,13332.32,13485.337,2783.308,10956.9,360.46,0.456144427,40.9,4.296667,4.49,100.1,8170413,71.04178,1426.819,1255734,230.457
2006,1,199.47,5,1.51,4.46,5.15,12.3,13603.93,13811.601,2838.092,11170.1,366.17,0.461080051,40.95,4.72,4.57,100.8,8371156,75.60726,1492.519,1320332,232.248
2006,2,201.27,4.57,1.55,4.91,5.15,12.3,13749.81,13952.617,2868.106,11197.4,369.91,0.461080051,41,5.176667,5.07,101.6,8420042,77.04652,1518.932,1351035,232.784
2006,3,203.17,4.67,0.01,5.25,5.15,12.3,13867.47,14112.574,2884.675,11226.4,372.97,0.461080051,41.05,5.393333,4.896667,102.5,8506974,77.3959,1557.724,1358452,233.85
2006,4,202.33,4.23,-0.54,5.25,5.15,12.3,14037.23,14213.273,2837.256,11374.5,376.78,0.461080051,41.1,5.323333,4.63,103.3,8680224,83.04213,1569.927,1397307,234.728
2007,1,204.32,4.8,1.76,5.26,5.15,12.5,14208.57,14345.737,2994.654,11471.4,378.18,0.452222606,41.04166667,5.31,4.68,104.3,8849665,86.17699,1606.513,1466312,234.72
2007,2,206.63,4.43,1.45,5.25,5.15,12.5,14382.36,14476.145,3034.324,11500.8,377.9,0.452222606,40.98333333,5.316667,4.846667,105.1,8867677,91.38494,1619.091,1495642,236.081
2007,3,207.94,4.67,0.07,5.07,5.85,12.5,14535,14437.38,3057.91,11511,373.68,0.452222606,40.925,5.423333,4.73,105.9,9007653,91.14911,1602.248,1498570,236.085
2007,4,210.49,4.57,0.73,4.5,5.85,12.5,14681.5,14477.511,3102.198,11518.8,372.5,0.452222606,40.86666667,5.023334,4.26,106.7,9229172,92.70738,1602.775,1508323,236.939
2008,1,212.77,5.27,1.66,3.18,5.85,13.2,14651.04,14535.432,3165.82,11550.8,369.79,0.454854597,40.80833333,3.23,3.663333,107.6,9437594,84.2466,1551.383,1534818,236.303
2008,2,215.54,5.23,2.46,2.09,5.85,13.2,14805.61,14582.504,3501.622,11762.2,360.46,0.454854597,40.75,2.756667,3.886667,108.4,9492006,86.14906,1528.239,1552127,235.388
2008,3,218.86,6.03,-0.01,1.94,6.55,13.2,14835.19,14632.055,3346.443,11515,349.1,0.454854597,40.69166667,3.056667,3.863333,109,10024725,77.11359,1494.271,1497221,233.555
2008,4,213.85,6.57,-3.96,0.51,6.55,13.2,14559.54,14369.984,3518.534,11615.3,345.88,0.454854597,40.63333333,2.816667,3.253333,109.5,10699805,53.64395,1384.171,1444593,230.197
2009,1,212.38,8.8,1.18,0.18,6.55,14.3,14394.55,14133.047,3594.389,11565.5,348.43,0.45936565,40.575,1.083333,2.736667,109.8,11126941,47.7175,1144.195,1202078,225.276
2009,2,213.51,9.13,1.4,0.18,6.55,14.3,14352.85,14172.733,3796.261,11689.8,339.23,0.45936565,40.51666667,0.6166667,3.313333,110.1,11545275,53.53225,1102.464,1130761,221.191
2009,3,215.34,9.6,0.12,0.16,7.25,14.3,14420.31,14244.058,3741.231,11557.6,330.26,0.45936565,40.45833333,0.3,3.516667,110.5,11909828,60.63835,1104.113,1134962,218.884
2009,4,217.03,9.53,-0.01,0.12,7.25,14.3,14628.02,14477.243,3809.697,11554.8,327.79,0.45936565,40.4,0.2233333,3.46,111,12311349,66.32294,1143.889,1140391,218.614
2010,1,217.37,10.4,0.77,0.13,7.25,15.1,14721.35,14584.236,3941.575,11619.8,323.87,0.457292722,40.45,0.2066667,3.716667,111.4,12773123,67.3168,1213.369,1191474,218.911
2010,2,217.3,9.47,0.15,0.19,7.25,15.1,14926.1,14820.85,3984.864,11811.2,320.96,0.457292722,40.5,0.4233333,3.49,111.9,13201792,66.72086,1257.379,1212911,221.624
2010,3,217.93,9.47,0.22,0.19,7.25,15.1,15079.92,15097.635,3950.845,11895.3,324,0.457292722,40.55,0.3366667,2.786667,112.3,13561622,65.13765,1297.148,1255934,221.944
2010,4,219.7,9.13,0.33,0.19,7.25,15.1,15240.84,15221.344,3974.997,11962,321.65,0.457292722,40.6,0.28,2.863333,112.9,14025215,71.58693,1326.495,1288756,222.504
2011,1,222.04,9.5,1.95,0.16,7.25,15,15285.83,15311.692,3977.799,12083.9,312.8,0.464419468,40.65,0.2833333,3.46,113.2,14270114,77.23933,1458.521,1426111,222.959
2011,2,224.57,8.9,1,0.09,7.25,15,15496.19,15528.517,4044.751,12057.6,307.31,0.464419468,40.7,0.22,3.21,113.7,14343087,78.02744,1476.191,1445357,224.901
2011,3,226.03,9.07,0.52,0.08,7.25,15,15591.85,15689.155,3927.628,12110.2,309.6,0.464419468,40.75,0.2866667,2.426667,114.2,14790340,70.99938,1471.733,1470880,225.63
2011,4,227.05,8.33,-0.54,0.07,7.25,15,15796.46,15853.949,3961.856,12147.9,310.96,0.464419468,40.8,0.4233333,2.046667,114.7,15222940,68.65376,1507.169,1470386,226.887
2012,1,228.33,8.63,1.64,0.1,7.25,15,16019.76,16287.864,3911.398,12375.3,307.68,0.463656847,40.85,0.33,2.036667,115.3,15606518,74.80493,1529.118,1467752,227.915
2012,2,228.81,8,0.03,0.15,7.25,15,16152.26,16412.965,3898.939,12487.8,306.4,0.463656847,40.9,0.3,1.823333,115.8,15855037,72.76023,1556.654,1487130,228.259
2012,3,229.84,8.13,0.85,0.14,7.25,15,16257.15,16405.78,3857.668,12398.4,310.35,0.463656847,40.95,0.2666667,1.643333,116.3,16066240,75.08566,1575.77,1509481,229.911
2012,4,231.37,7.5,-0.78,0.16,7.25,15,16358.86,16646.793,3938.688,12741.9,312.84,0.463656847,41,0.2333333,1.706667,116.7,16432730,77.37923,1630.259,1571414,230.431
2013,1,232.3,8.07,1.38,0.14,7.25,14.5,16569.59,16731.616,3853.466,12231.9,314.46,0.45800947,41.04545455,0.22,1.95,117.4,16771381,83.31729,1710.007,1649349,231.51
2013,2,232.05,7.4,0.32,0.12,7.25,14.5,16637.93,16880.295,3863.982,12323,319.36,0.45800947,41.09090909,0.1966667,1.996667,118,16738320,86.59168,1731.142,1681852,232.084
2013,3,233.3,7.33,0.28,0.08,7.25,14.5,16848.75,16974.269,3861.096,12376.3,324.32,0.45800947,41.13636364,0.1233333,2.71,118.4,16738180,89.18593,1754.342,1674474,233.017
2013,4,234.16,6.7,-0.47,0.09,7.25,14.5,17083.14,17194.479,3850.243,12425.2,326.99,0.45800947,41.18181818,0.1266667,2.746667,119.1,17156119,93.96948,1784.051,1697656,234.456
2014,1,235.62,6.93,1.38,0.07,7.25,14.8,17102.93,17389.765,3906.81,12614.4,329.86,0.460243398,41.22727273,0.1233333,2.763333,119.4,17601227,96.29462,1863.991,1744403,234.445
2014,2,236.87,6.1,0.87,0.09,7.25,14.8,17425.77,17713.613,3961.666,12765.9,336.16,0.460243398,41.27272727,0.1133333,2.623333,120.2,17632606,100.1053,1904.169,1757779,236.917
2014,3,237.48,6.17,-0.13,0.09,7.25,14.8,17719.84,18006.642,3999.114,12906.9,340.98,0.460243398,41.31818182,0.1266667,2.496667,121.1,17824071,102.2646,1900.387,1797945,237.831
2014,4,236.89,5.47,-1.36,0.1,7.25,14.8,17838.45,18173.001,3990.35,13065.2,343.83,0.460243398,41.36363636,0.1333333,2.28,121.8,18141444,100.5696,1931.672,1835843,239.813
2015,1,235.32,5.83,0.56,0.11,7.25,13.5,17970.42,18289.594,3998.769,13226.6,347.33,0.457404246,41.40909091,0.15,1.966667,122.6,18152056,101.7028,2020.985,1903962,240.532
2015,2,236.94,5.3,1.06,0.12,7.25,13.5,18221.3,18454.492,3963.534,13327.8,353.35,0.457404246,41.45454545,0.1533333,2.166667,122.8,18151998,103.8063,2042.824,1940774,241.411
2015,3,237.86,5.23,-0.29,0.14,7.25,13.5,18331.09,18568.112,4124.641,13440.4,358.75,0.457404246,41.5,0.24,2.22,123.6,18150618,97.8527,2020.455,1946748,242.684
2015,4,237.87,4.8,0.59,0.16,7.25,13.5,18354.37,18584.75,4115.914,13471.4,361.93,0.457404246,41.5,0.3633333,2.19,124.3,18922179,96.63821,2007.936,1959596,243.786
2016,1,237.78,5.2,0.68,0.36,7.25,12.7,18409.13,18637.107,4153.345,13562.3,365.26,0.455907864,41.5,0.5533333,1.92,125.1,19264939,90.54796,1995.941,1921975,244.67
2016,2,239.49,4.77,1.2,0.37,7.25,12.7,18640.73,18720.944,4148.54,13541.5,372.34,0.455907864,41.5,0.5566667,1.753333,126,19381591,97.06623,2003.251,1945295,244.928
2016,3,240.6,4.97,0.17,0.4,7.25,12.7,18799.65,18884.809,4224.707,13592.9,379,0.455907864,41.5,0.7,1.563333,126.6,19573445,100.4258,2039.026,1969632,246.083
2016,4,242.16,4.53,-0.01,0.45,7.25,12.7,18979.25,19093.587,4258.821,13685.4,382.46,0.455907864,41.5,0.7666667,2.13,127.3,19976827,100.9166,2039.342,1987448,246.429
2017,1,243.83,4.87,0.97,0.7,7.25,12.3,19162.55,19357.412,4288.293,13835.3,385.81,0.454213408,41.5,0.9166667,2.443333,128.2,19846420,106.5986,1987.626,2001531,247.213
2017,2,244.07,4.23,0.48,0.95,7.25,12.3,19359.12,19545.874,4272.435,13909.8,395.43,0.454213408,41.5,1.08,2.263333,129,19844554,108.5295,2003.74,2016009,248.979
2017,3,245.37,4.4,0.76,1.15,7.25,12.3,19588.07,19702.477,4347.214,13986.2,402.16,0.454213408,41.5,1.24,2.243333,130,20244900,111.6664,2042.913,2049768,249.512
2017,4,247.27,3.9,-0.12,1.2,7.25,12.3,19831.83,19908.473,4426.195,14065.9,406.06,0.454213408,41.5,1.373333,2.37,130.8,20492747,116.8752,2042.372,2115778,251.259
2018,1,249.25,4.33,1.22,1.45,7.25,12.1,20041.05,20200.96,4498.506,14219.8,412.05,0.452603089,41.5,1.83,2.76,132,21089643,120.6047,1921.492,2074939,252.102
2018,2,250.58,3.83,0.98,1.74,7.25,12.1,20411.92,20410.533,4559.17,14282,421.61,0.452603089,41.5,2.183333,2.92,132.8,21195070,118.1016,1943.529,2071711,253.707
2018,3,251.83,3.87,0.19,1.92,7.25,12.1,20658.2,20716.493,4609.01,14374.8,428.18,0.452603089,41.5,2.2,2.926667,133.9,21516058,121.0241,1971.38,2086484,254.8
2018,4,252.76,3.57,-0.47,2.22,7.25,12.1,20865.14,20716.493,4678.778,14523.6,430.76,0.452603089,41.5,2.54,3.033333,134.9,21974096,113.901,1987.923,2077420,255.075
2019,1,252.893,3.86,0.39,2.4,7.25,11.81,21098.827,21056.738,4781.506,16198.54,435.35,0.452603089,41.5,2.52,2.653333,135.9,22027880,115.5575,2018.649,2156907,255.692
2019,2,255.923,3.63,0.26,2.4,7.25,11.7,21340.267,21237.802,4880.06,16355.726,443.35,0.452603089,41.5,2.403333,2.333333,136.7,22023283,119.9513,2027.559,2200135,256.104
2019,3,256.623,3.63,0.08,2.19,7.25,11.58,21542.54,21440.44,4925.17,16535.25,447.99,0.452603089,41.5,2.103333,1.796667,137.9,22719402,121.1577,2036.277,2190640,257.087
2019,4,257.17,3.55,0.03,1.64,7.25,11.47,21734.266,21628.4,4963.385,16662.684,452.74,0.452603089,41.5,1.803333,1.260001,138.9,23415521,122.3641,2044.995,2200136.991,257.551
